n,smart,binary
1000,2,10
2000,6,11
3000,6,12
4000,6,10
5000,5,12
6000,5,13
7000,3,10
8000,6,13
9000,7,13
10000,7,11
11000,2,12
12000,7,10
13000,4,11
14000,5,13
15000,8,12
16000,2,14
17000,8,13
18000,7,14
19000,6,14
20000,7,15
21000,6,14
22000,8,14
23000,5,13
24000,9,14
25000,8,13
26000,7,11
27000,9,13
28000,5,11
29000,7,12
30000,9,14
31000,7,12
32000,8,14
33000,2,14
34000,4,15
35000,9,15
36000,8,15
37000,9,14
38000,6,15
39000,8,12
40000,7,15
41000,9,9
42000,9,16
43000,6,16
44000,10,16
45000,6,15
46000,2,15
47000,7,16
48000,7,13
49000,8,16
50000,7,16
51000,10,16
52000,8,16
53000,7,15
54000,7,15
55000,8,16
56000,8,16
57000,10,16
58000,9,16
59000,8,16
60000,9,16
61000,6,15
62000,7,12
63000,6,11
64000,7,14
65000,9,14
66000,9,16
67000,10,14
68000,9,16
69000,9,15
70000,8,16
71000,9,15
72000,10,15
73000,9,17
74000,10,16
75000,9,14
76000,7,16
77000,8,17
78000,10,17
79000,9,16
80000,11,16
81000,7,16
82000,10,16
83000,11,16
84000,9,15
85000,10,17
86000,7,15
87000,5,13
88000,10,16
89000,2,15
90000,2,15
91000,10,14
92000,7,15
93000,6,16
94000,2,15
95000,7,16
96000,10,14
97000,9,17
98000,10,16
99000,10,16
100000,8,15
101000,10,17
102000,8,14
103000,10,14
104000,10,17
105000,10,17
106000,10,15
107000,10,14
108000,9,16
109000,10,16
110000,10,16
111000,11,17
112000,8,17
113000,2,17
114000,8,15
115000,10,16
116000,11,17
117000,9,13
118000,11,16
119000,8,16
120000,10,17
121000,11,17
122000,9,17
123000,8,17
124000,10,14
125000,8,17
126000,9,14
127000,2,17
128000,10,15
129000,9,17
130000,7,17
131000,9,17
132000,10,17
133000,7,16
134000,10,16
135000,9,15
136000,10,17
137000,9,17
138000,9,13
139000,11,17
140000,10,15
141000,11,14
142000,8,16
143000,2,16
144000,11,17
145000,10,16
146000,8,15
147000,8,17
148000,10,16
149000,11,16
150000,11,18
151000,11,17
152000,9,15
153000,8,17
154000,11,17
155000,10,15
156000,11,17
157000,8,17
158000,8,14
159000,11,14
160000,9,13
161000,10,15
162000,10,16
163000,10,13
164000,12,17
165000,9,17
166000,9,14
167000,8,17
168000,12,14
169000,8,17
170000,11,16
171000,8,17
172000,9,16
173000,7,17
174000,10,18
175000,11,18
176000,10,18
177000,8,17
178000,8,17
179000,9,14
180000,10,18
181000,8,18
182000,11,17
183000,11,15
184000,6,15
185000,11,16
186000,10,18
187000,12,18
188000,9,16
189000,9,18
190000,8,16
191000,11,17
192000,10,16
193000,11,17
194000,9,17
195000,9,18
196000,10,17
197000,10,17
198000,10,15
199000,8,17
200000,2,15
201000,9,16
202000,12,14
203000,9,16
204000,10,15
205000,2,17
206000,2,17
207000,11,18
208000,12,18
209000,7,15
210000,9,18
211000,11,14
212000,8,18
213000,9,17
214000,9,16
215000,11,14
216000,10,18
217000,10,16
218000,6,16
219000,10,16
220000,9,17
221000,9,16
222000,12,18
223000,8,16
224000,9,15
225000,6,11
226000,12,18
227000,10,16
228000,11,17
229000,11,18
230000,12,16
231000,11,17
232000,10,15
233000,11,18
234000,11,14
235000,9,16
236000,11,17
237000,9,18
238000,9,18
239000,11,18
240000,8,18
241000,12,18
242000,11,17
243000,8,18
244000,12,16
245000,11,14
246000,8,18
247000,11,17
248000,8,16
249000,10,17
250000,10,16
251000,9,18
252000,7,14
253000,10,17
254000,9,18
255000,7,15
256000,10,18
257000,7,14
258000,11,18
259000,10,15
260000,10,17
261000,7,16
262000,10,18
263000,8,18
264000,7,18
265000,8,18
266000,11,18
267000,8,18
268000,8,18
269000,8,17
270000,11,18
271000,10,18
272000,8,16
273000,11,18
274000,12,18
275000,9,17
276000,12,14
277000,9,18
278000,9,15
279000,10,18
280000,9,18
281000,8,18
282000,10,18
283000,9,16
284000,11,18
285000,11,14
286000,11,18
287000,11,16
288000,11,18
289000,12,18
290000,8,19
291000,10,17
292000,12,18
293000,11,18
294000,11,17
295000,9,18
296000,11,17
297000,8,18
298000,8,18
299000,10,18
300000,12,17
